不	b
宾	bb
滨	bba
缤	bbaa
濒	bbai
摈	bbi
髌	bbia
豳	bbiav
傧	bbio
镔	bbioo
斌	bbo
膑	bbu
邠	bbuo
彬	bbv
鬓	bbvi
槟	bbvo
殡	bbvu
玢	bbvv
表	bc
婊	bca
骠	bcaa
骉	bcaaa
瀌	bcao
彪	bci
幖	bcia
蔈	bcii
藨	bciio
镖	bcio
镳	bcioo
儦	bciov
摽	bciu
俵	bciv
裱	bco
熛	bcou
瘭	bcov
膘	bcu
飚	bcua
飑	bcuau
鳔	bcuav
脿	bcuv
标	bcv
髟	bcvi
飙	bcvu
杓	bcvua
别	bd
憋	bdo
鳖	bdou
蹩	bdouo
瘪	bdov
办	bf
绊	bfa
阪	bfai
湴	bfao
搬	bfi
蝂	bfia
伴	bfio
钣	bfiou
扳	bfiu
拌	bfiuo
扮	bfiuu
半	bfo
昄	bfoi
粄	bfouu
瓣	bfov
𨭉	bfovi
瘢	bfovu
癍	bfovv
版	bfu
颁	bfuo
攽	bfuou
般	bfuu
舨	bfuuu
班	bfv
靽	bfvi
坂	bfvo
板	bfvu
斑	bfvv
并	bg
屏	bga
摒	bgi
蛃	bgia
病	bgo
昺	bgoi
炳	bgou
冰	bgov
禀	bgovi
兵	bgu
饼	bgua
秉	bguv
柄	bgv
丙	bgvi
邴	bgvia
槟	bgvo
白	bh
败	bha
摆	bhi
拜	bhiu
伯	bhiui
掰	bhiuu
捭	bhiuui
佰	bhiv
呗	bho
稗	bhu
百	bhv
柏	bhvu
部	bj
步	bji
蔀	bjii
卜	bjio
钚	bjiov
堡	bjiovo
钸	bjiovu
捕	bjiu
补	bjo
晡	bjoi
卟	bjoio
怖	bjoo
哺	bjov
瓿	bjovv
簿	bju
布	bjv
逋	bjvi
醭	bjvii
埠	bjvo
埗	bjvoi
埔	bjvov
比	bk
避	bka
纰	bkaa
陛	bkai
泌	bkao
赑	bkaoa
婢	bkau
濞	bkaui
妣	bkauv
滗	bkauvo
壁	bkav
嬖	bkava
沘	bkavau
辟	bkavo
屄	bkavoo
襞	bkavov
臂	bkavu
璧	bkavv
弼	bkavvu
蔽	bki
睥	bkia
髀	bkiau
畀	bkiav
蓖	bkii
薜	bkiia
苾	bkiio
荸	bkiiu
萆	bkiiui
荜	bkiiv
铋	bkio
佖	bkioa
俾	bkiu
必	bko
裨	bkoa
邲	bkoaa
诐	bkoaau
闭	bkoi
跸	bkoiv
愎	bkoo
咇	bkooa
弊	bkou
鄙	bkoua
敝	bkouu
庇	bkov
哔	bkova
吡	bkovau
痹	bkovi
庳	bkovu
笔	bku
匕	bkua
狴	bkuav
鲾	bkuavo
币	bkui
鼻	bkuii
贲	bkuo
彼	bkuu
舭	bkuuv
秘	bkuv
箅	bkuvi
馝	bkuvo
篦	bkuvu
秕	bkuvv
筚	bkuvva
毕	bkv
毙	bkva
毖	bkvao
坒	bkvav
逼	bkvo
皕	bkvu
觱	bkvuu
碧	bkvv
珌	bkvvo
拨	bl
波	bla
驳	blaa
泊	blau
渤	blauo
浡	blauoo
剥	blav
