# 单字全码
缤	bbaaoo
濒	bbaivi
滨	bbaooa
髌	bbiaoo
豳	bbiavu
傧	bbiooa
镔	bbiooo
摈	bbiuoo
宾	bbooui
斌	bbovvv
邠	bbuoai
膑	bbuooa
鬓	bbvioo
槟	bbvooa
殡	bbvuoo
玢	bbvvuo
彬	bbvvuu
骉	bcaaaa
骠	bcaavi
瀌	bcaovu
婊	bcauvv
幖	bciavi
藨	bciiov
蔈	bciivi
镳	bcioov
儦	bciova
镖	bciovi
摽	bciuvi
彪	bcivuu
俵	bcivvi
裱	bcoavv
熛	bcouvi
瘭	bcovvi
飚	bcuaou
飑	bcuaua
鳔	bcuavi
膘	bcuvia
脿	bcuvvi
髟	bcviuu
杓	bcvuao
飙	bcvuua
表	bcvvua
标	bcvvvi
别	bdoaii
憋	bdouoa
蹩	bdouoi
鳖	bdouua
瘪	bdovui
绊	bfaaou
阪	bfaiuu
湴	bfaouv
办	bfauoo
蝂	bfiaui
钣	bfiouu
伴	bfiouv
拌	bfiuou
扮	bfiuuo
扳	bfiuuu
搬	bfiuuu
昄	bfoiuu
粄	bfouu
半	bfouvv
𨭉	bfovio
瓣	bfovuu
瘢	bfovuu
癍	bfovvv
版	bfuiuu
攽	bfuouv
颁	bfuovu
般	bfuuua
舨	bfuuuu
靽	bfviou
坂	bfvouu
板	bfvuua
班	bfvvou
斑	bfvvov
屏	bgavou
蛃	bgiavi
摒	bgiuav
昺	bgoivi
炳	bgouvi
并	bgouvv
冰	bgovaa
禀	bgovia
病	bgovvi
饼	bguaou
兵	bguiuo
秉	bguvav
邴	bgviai
丙	bgviau
槟	bgvooa
柄	bgvvia
败	bhaouv
伯	bhiuia
摆	bhiuia
捭	bhiuui
掰	bhiuuo
拜	bhiuvv
佰	bhivui
呗	bhoaoo
白	bhuiav
稗	bhuvui
柏	bhvuia
百	bhvuoi
蔀	bjiiov
卜	bjioo
堡	bjiovo
钚	bjiovu
钸	bjiovu
捕	bjiuvi
步	bjiviu
补	bjoaio
卟	bjoioo
晡	bjoivi
怖	bjoovu
部	bjovai
哺	bjovia
瓿	bjovva
簿	bjuvav
醭	bjviii
逋	bjvioa
埗	bjvoiv
埠	bjvoui
埔	bjvovi
布	bjvuia
不	bjvuio
纰	bkaava
陛	bkaiva
泌	bkaoao
赑	bkaoao
濞	bkauia
婢	bkauui
妣	bkauva
滗	bkauvo
嬖	bkavau
沘	bkavau
避	bkavoa
屄	bkavoo
襞	bkavov
辟	bkavov
臂	bkavuu
壁	bkavvo
弼	bkavvu
璧	bkavvv
睥	bkiaui
髀	bkiaui
畀	bkiavu
薜	bkiiav
苾	bkiioa
蔽	bkiiou
萆	bkiiui
蓖	bkiiui
荸	bkiiuo
荜	bkiiva
佖	bkioao
铋	bkiooa
俾	bkiuia
邲	bkoaai
诐	bkoaau
必	bkoaou
裨	bkoaui
跸	bkoiva
闭	bkoivi
咇	bkooao
愎	bkoouv
鄙	bkouai
敝	bkouuv
弊	bkouvu
吡	bkovau
哔	bkovau
痹	bkovia
庳	bkovui
庇	bkovva
匕	bkuaa
狴	bkuava
鲾	bkuavo
币	bkuiai
鼻	bkuiia
贲	bkuoao
彼	bkuuau
舭	bkuuva
箅	bkuvia
秘	bkuvoa
馝	bkuvoa
篦	bkuvui
笔	bkuvuv
秕	bkuvva
筚	bkuvva
毖	bkvaoa
比	bkvaua
毕	bkvauo
坒	bkvavo
毙	bkvavu
逼	bkvooa
觱	bkvuua
皕	bkvuvu
珌	bkvvoa
碧	bkvvvu
波	blaaui
驳	blaauo
泊	blauia
浡	blauoo
渤	blauoo
剥	blavii
擘	blaviu
檗	blavvv
嶓	bliauo
菠	bliiaa
薄	bliiav
蕃	bliiuo
卜	blioo
铂	blioui
钵	bliovi
镈	bliovi
钹	bliovu
拨	bliuau
伯	bliuia
播	bliuuo
搏	bliuvi
啵	bloaau
袯	bloaau
跛	bloiau
踣	bloiov
亳	blovuv
鲌	bluaui
饽	bluauo
帛	bluiia
魄	bluiui
勃	bluoau
鹁	bluoua
博	bluovi
脖	bluuoo
舶	bluuui
箔	bluvau
簿	bluvav
膊	bluvia
馞	bluvuo
簸	bluvvi
欂	blviia
僰	blvivi
柏	blvuia
礴	blvuii
桲	blvuoo
磻	blvuuo
砵	blvuvi
玻	blvvau
缏	bmaaiv
编	bmaaoa
𨚕	bmaoai
贬	bmaouo
汴	bmaovi
弁	bmaovu
边	bmauoa
蝙	bmiaoa
萹	bmiioa
苄	bmiiov
抃	bmiuov
便	bmivia
扁	bmoaia
褊	bmoaoa
遍	bmoaoa
昪	bmoiao
忭	bmooov
窆	bmoouo
煸	bmouoa
辫	bmovaa
变	bmovao
