BiangBiang面	bbmmu
B超	bjz
B站	bkqf
B超	bwz
CDMA	cdm
C语言	cyy
登录QQ	dlqqa
哆啦A梦	dlsm
DNA	dns
D盘	dpf
Excel	excl
For	flr
智能ABC	fnsc
GDP	gdp
Git	gkt
Github	gktb
Good	glld
USB	jsb
ICU	kcj
IC卡	kck
卡乐B	klb
卡拉OK	kllk
iOS	kls
IMEI	kmek
iMac	kms
iMac Pro	kmsp
IP地址	kpdf
IP电话	kpdh
iPhone	kph
iPhone 8	kphb
iPhone 7	kphq
iPhone 8 Plus	kphs
iPhone X	kphx
IP卡	kpk
iPAD	kps
iPad	kpsd
iPad Pro	kpsp
Iptv	kptv
K线图	kxt
Office	lffeo
Office 2016	lffl
Office 2013	lffso
OFO	lfl
Ofo小黄车	lfljo
Ofo小黄车	lflw
Linux	lknx
MBA	mbsi
MIUI	mkjk
Mac	msc
NBA	nbs
PC机	pcjku
Perfect	pert
PhotoShop	phlp
Power Point	plkt
Power Point	plwt
PY交易	pyjy
QQ号	qqh
QQ拼音	qqpy
QQ群	qqqw
QQ音乐	qqyy
奇瑞QQ	qrqqv
Rime	rkme
ABC	sbc
Access	sccs
A股	sgj
SIM卡	skm
SOHO公寓	slhy
Android	sndd
AA制	ssf
AA制	ssfk
ATM	stm
THX	thx
TapTap	tspt
T型台	txth
T型台	txth
U盘	upf
Welcome	wjlja
WIFI	wkfk
Wiki	wkkk
Win	wkn
Win8	wknb
Windows8	wknba
Win10	wkne
Windows10	wknea
Win7	wknq
Windows7	wknqa
Windows	wkns
Word	wlrd
X光	xgx
