不能	bjnr_ba
班级	bfjk_baa
不了	bjle_bai
宝贝	bzbw_bao
不好	bjhz_bau
不敢	bjgf_bav
不但	bjdf_bi
不见	bjjm_bia
别人	bdrn_bii
不错	bjcl_bio
不少	bjez_biu
不会	bjhb_biv
不是	bjek_bo
不让	bjrp_boa
便是	bmek_boi
表情	bcqg_boo
不断	bjdt_bou
毕竟	bkjg_bov
必须	bkxl_bu
不用	bjyy_bua
别的	bdde_bui
爸爸	bsbs_buo
变得	bmde_buu
不知	bjfk_buv
不过	bjgl_bv
不到	bjdz_bva
不想	bjxx_bvi
本来	bnlh_bvo
变成	bmjr_bvu
不禁	bjjbv_bvv
才能	chnr_ca
曾经	crjg_caa
村子	cwzk_cai
沧桑	cpsp_cao
参加	cfjs_cau
村民	cwmb_cav
操作	czzl_ci
村里	cwlk_cia
此人	ckrn_cii
催促	cbcj_cio
从小	cyxc_ciu
从此	cyck_civ
此时	ckek_co
测试	ceek_coa
才是	chek_coi
匆忙	cymp_coo
材料	chlc_cou
此刻	ckke_cov
采用	chyy_cu
匆匆	cycy_cua
苍白	cpbh_cui
苍老	cplz_cuo
厕所	cesl_cuu
村长	cwqp_cuv
存在	cwzh_cv
参与	cfyl_cva
从事	cyek_cvi
从来	cylh_cvo
才有	chyd_cvu
从未	cyww_cvv
到了	dzle_da
大约	dsyh_daa
肚子	djzk_dai
淡淡	dfdf_dao
打架	dsjsi_dau
当即	dpjk_dav
多少	dlez_di
当中	dpfy_dia
大人	dsrn_dii
灯光	drgm_dio
动作	dyzl_diu
地上	dkep_div
但是	dfek_do
的话	dehq_doa
都是	ddek_doi
大家	dsjs_doo
弟弟	dkdk_dou
地方	dkfp_dov
当然	dprf_du
多么	dlme_dua
独自	djzku_dui
大爷	dsye_duo
等待	drdh_duu
打算	dsst_duv
东西	dyxk_dv
得到	dedz_dva
地下	dkxs_dvi
大哥	dsge_dvo
对面	dbmm_dvu
对于	dbyl_dvv
生活	erhl_ea
视线	ekxmo_eaa
身子	enzk_eai
深深	enen_eao
身边	enbm_eau
